City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
55,55,Ponta Do Sol,PT,2021-11-27 18:21:28,32.6667,-17.1,65.03,71,24,7.47
56,56,Busselton,AU,2021-11-27 18:21:29,-33.65,115.3333,64.47,65,0,6.33
57,57,Vila Franca Do Campo,PT,2021-11-27 18:21:29,37.7167,-25.4333,61.21,73,52,7.29
58,58,San Andres,CO,2021-11-27 18:21:30,12.5847,-81.7006,86.02,70,40,14.97
59,59,Pisco,PE,2021-11-27 18:21:30,-13.7,-76.2167,69.85,73,95,10.36
60,60,Castro,BR,2021-11-27 18:21:31,-24.7911,-50.0119,79.99,45,1,5.32
61,61,Chuy,UY,2021-11-27 18:21:31,-33.6971,-53.4616,73.29,69,92,12.39
62,62,Auki,SB,2021-11-27 18:21:32,-8.7676,160.7034,76.59,87,100,4.23
63,63,Husavik,IS,2021-11-27 18:21:32,66.0449,-17.3389,33.71,80,95,17.45
64,64,Haines Junction,CA,2021-11-27 18:21:33,60.7522,-137.5108,-7.65,84,100,2.3
65,65,Port Lincoln,AU,2021-11-27 18:21:33,-34.7333,135.8667,56.23,82,16,11.63
66,66,Tuy Hoa,VN,2021-11-27 18:21:34,13.0833,109.3,76.06,97,100,13.24
67,67,Morro Bay,US,2021-11-27 18:19:15,35.3658,-120.8499,68.45,33,40,5.48
68,68,Merauke,ID,2021-11-27 18:21:34,-8.4667,140.3333,80.98,75,99,2.33
69,69,Skjervoy,NO,2021-11-27 18:21:35,70.0311,20.9714,23.59,65,27,13.85
70,70,Doha,QA,2021-11-27 18:16:50,25.2867,51.5333,76.98,57,0,9.22
71,71,Anadyr,RU,2021-11-27 18:21:35,64.75,177.4833,-5.3,77,0,2.24
72,72,Victoria,HK,2021-11-27 18:21:36,22.2855,114.1577,69.78,66,46,9.48
73,73,Yei,SS,2021-11-27 18:21:36,4.095,30.6779,71.37,77,66,1.7
74,74,Tiksi,RU,2021-11-27 18:21:37,71.6872,128.8694,-3.96,98,97,5.93
75,75,Zeya,RU,2021-11-27 18:21:38,53.75,127.2667,17.71,70,100,2.98
76,76,Coihaique,CL,2021-11-27 18:20:02,-45.5752,-72.0662,63.21,36,0,9.22
77,77,Vulcan,RO,2021-11-27 18:21:38,45.3833,23.2667,38.7,93,53,3.67
78,78,Bac Lieu,VN,2021-11-27 18:21:39,9.285,105.7244,72.77,90,96,9.71
79,79,Lagoa,PT,2021-11-27 18:21:39,39.05,-27.9833,60.89,66,13,9.28
80,80,Te Anau,NZ,2021-11-27 18:21:39,-45.4167,167.7167,39.33,94,67,0.83
81,81,Torbay,CA,2021-11-27 18:21:40,47.6666,-52.7314,48.97,93,90,16.11
82,82,Comodoro Rivadavia,AR,2021-11-27 18:21:40,-45.8667,-67.5,67.86,18,0,10.36
