City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
230,Puerto Leguizamo,CO,79.66,overcast clouds,-0.1934,-74.7819,la casona de juancho
231,Barstow,US,74.75,clear sky,34.8986,-117.0228,"Motel 6 Barstow, CA"
233,Do Gonbadan,IR,60.1,broken clouds,30.3586,50.7981,شبکه بهداشت و درمان گچساران
234,Chulumani,BO,71.01,overcast clouds,-16.4096,-67.5263,Hotel Cabanas Paradise
235,Jacqueville,CI,78.71,scattered clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
236,Golden,US,67.69,broken clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
237,Esperance,AU,64.24,overcast clouds,-33.8667,121.9,Hospitality Esperance
238,Lima,PE,66.45,scattered clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
245,Poso,ID,75.92,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
249,Matay,EG,73.81,broken clouds,28.419,30.7792,Nag Aespen
250,Geraldton,AU,66.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
251,Teacapan,MX,79.5,overcast clouds,22.55,-105.75,Hotel los Mangos
252,Patacamaya,BO,60.53,light rain,-17.2333,-67.9167,RESIDENCIAL ISLA VIGU
253,Manadhoo,MV,80.55,heavy intensity rain,5.7667,73.3833,Reason Inn
255,Kabanjahe,ID,61.56,moderate rain,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
256,San Patricio,US,70.21,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
257,Rio Gallegos,AR,60.33,overcast clouds,-51.6226,-69.2181,Hotel Santa Cruz
258,Half Moon Bay,US,68.18,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
259,Cap Malheureux,MU,77.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
260,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
264,Hervey Bay,AU,73.51,broken clouds,-25.2986,152.8535,Shelly Bay Resort
265,Awbari,LY,72.46,overcast clouds,26.5921,12.7805,فندق أوباري
266,Akcaabat,TR,71.47,broken clouds,41.0212,39.5715,AKOF APART
267,Souillac,MU,75.79,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
268,Constitucion,CL,63.14,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
270,Kawambwa,ZM,62.74,light rain,-9.7915,29.0791,Chembe Nsofu
