City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
88,Yurty,RU,56.0498,97.6348,21.63,91,100,15.88,light snow
89,Khatanga,RU,71.9667,102.5,-8.03,98,100,9.31,overcast clouds
90,Hobbs,US,32.7026,-103.136,61.39,27,0,6.6,clear sky
91,Port Elizabeth,ZA,-33.918,25.5701,66.49,72,0,24.16,clear sky
92,Yenagoa,NG,4.9247,6.2642,77.16,92,96,4.56,overcast clouds
93,Yerbogachen,RU,61.2767,108.0108,-4.13,100,100,2.66,overcast clouds
94,Liku,ID,-0.7275,119.8922,74.52,95,100,4.25,light rain
95,Asheville,US,35.6009,-82.554,53.58,37,1,8.05,clear sky
96,Luderitz,NA,-26.6481,15.1594,61.3,84,8,8.93,clear sky
97,Kruisfontein,ZA,-34.0033,24.7314,63.09,78,2,17.54,clear sky
98,Barbastro,ES,42.0356,0.1269,39.38,89,71,5.3,broken clouds
99,Braganca,BR,-1.0536,-46.7656,80.47,74,93,4.97,overcast clouds
100,Arroyo,ES,41.6096,-4.7969,41.04,93,40,17.27,scattered clouds
101,Bethel,US,41.3712,-73.414,33.91,86,100,3.02,overcast clouds
102,Koumac,NC,-20.5667,164.2833,81.52,70,38,0.65,scattered clouds
103,Port Alfred,ZA,-33.5906,26.891,66.2,80,6,10.4,clear sky
104,Tuktoyaktuk,CA,69.4541,-133.0374,-5.94,95,100,15.12,overcast clouds
105,Seoul,KR,37.5683,126.9778,36.84,34,100,1.97,overcast clouds
106,Lagoa,PT,39.05,-27.9833,60.39,55,63,1.9,broken clouds
107,Mamlyutka,KZ,54.9375,68.5394,15.37,84,100,8.59,overcast clouds
108,Pevek,RU,69.7008,170.3133,1.9,89,100,1.79,overcast clouds
109,Santa Maria,BR,-29.6842,-53.8069,71.96,85,100,5.12,overcast clouds
110,New Norfolk,AU,-42.7826,147.0587,56.7,74,58,2.35,broken clouds
111,Utica,US,43.1009,-75.2327,33.33,98,100,3.78,light snow
112,Coquimbo,CL,-29.9533,-71.3436,64.13,72,0,13.8,clear sky
113,Coos Bay,US,43.3665,-124.2179,55.38,94,75,10.36,broken clouds
114,Edson,CA,53.5835,-116.4356,37.74,90,100,5.46,overcast clouds
115,Pangnirtung,CA,66.1451,-65.7125,17.71,77,100,7.63,overcast clouds
116,Khuzdar,PK,27.7384,66.6434,52.09,34,0,0.16,clear sky
117,Batabano,CU,22.7164,-82.2881,77.61,48,6,8.34,clear sky
118,Araouane,ML,18.9048,-3.5265,73.29,24,5,11.41,clear sky
119,Puerto Ayora,EC,-0.7393,-90.3518,70.66,81,85,10.18,overcast clouds
120,Taoudenni,ML,22.6783,-3.9836,68.72,21,3,10.31,clear sky
121,Qaqortoq,GL,60.7167,-46.0333,36.1,98,100,9.19,light rain
122,Urmary,RU,55.6789,47.944,33.78,100,100,8.28,overcast clouds
123,Oranjemund,NA,-28.55,16.4333,63.21,88,90,5.01,overcast clouds
124,Kodiak,US,57.79,-152.4072,13.51,44,1,3.44,clear sky
125,Nizhniy Kuranakh,RU,58.8353,125.4869,-11.49,96,71,3.98,broken clouds
126,Qaanaaq,GL,77.484,-69.3632,-8.21,77,23,8.23,few clouds
127,Impfondo,CG,1.6381,18.0667,75.24,66,82,3.56,broken clouds
128,Avarua,CK,-21.2078,-159.775,80.65,57,75,5.75,broken clouds
129,Ancud,CL,-41.8697,-73.8203,56.26,69,73,9.15,broken clouds
130,Necochea,AR,-38.5473,-58.7368,63.57,86,100,12.84,overcast clouds
131,Orange Walk,BZ,17.8333,-88.8333,82.26,64,76,2.28,broken clouds
132,Atuona,PF,-9.8,-139.0333,78.53,72,1,18.23,clear sky
133,Bambous Virieux,MU,-20.3428,57.7575,76.24,72,2,5.01,clear sky
134,Pathein,MM,16.7833,94.7333,72.5,91,99,5.21,overcast clouds
135,Rosarno,IT,38.4841,15.979,54.91,86,26,16.51,scattered clouds
136,Ribeira Grande,PT,38.5167,-28.7,61.2,67,20,6.91,few clouds
137,Cidreira,BR,-30.1811,-50.2056,72.3,87,100,8.61,overcast clouds
138,Upington,ZA,-28.4478,21.2561,69.69,31,8,3.42,clear sky
139,Edd,ER,13.9297,41.6925,82.2,66,0,10.02,clear sky
140,Vrangel,RU,42.7297,133.0839,40.21,81,61,4.52,broken clouds
141,Blairmore,CA,49.6,-114.4353,46.09,72,57,22.75,broken clouds
142,Timizart,DZ,36.8,4.2667,46.44,72,76,18.3,broken clouds
143,Vao,NC,-22.6667,167.4833,75.92,88,22,21.56,few clouds
144,Port-Gentil,GA,-0.7193,8.7815,80.58,80,95,9.4,light rain
145,Longyearbyen,SJ,78.2186,15.6401,10.24,56,75,23.02,broken clouds
146,Mitu,CO,1.1983,-70.1733,81.86,75,69,5.03,broken clouds
147,Butaritari,KI,3.0707,172.7902,81.61,78,86,13.18,overcast clouds
148,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,25,0,29.93,clear sky
149,Cape Town,ZA,-33.9258,18.4232,63.01,94,40,4.61,scattered clouds
150,Ambon,ID,-3.6954,128.1814,81.45,74,97,3.4,overcast clouds
151,Nikolskoye,RU,59.7035,30.7861,24.69,92,96,5.37,overcast clouds
152,Chunoyar,RU,57.4467,97.3217,21.96,93,100,12.15,light snow
153,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,7.39,72,0,4.47,clear sky
